id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
0CZEU1huUmS1xcp0ryHtUQ,Tumbleweeds,Purrple Cat,0.706,0.692,0.315,0.148,0.923,0.0375,140.049,-12.854,1,8,140625,4
1wixIS0JFSezVAKVOqKnqD,Bird Bath,Purrple Cat,0.792,0.67,0.253,0.21,0.889,0.0304,119.99,-11.872,0,7,130010,4
0bw4XZ3vPK534xHKh0VnFW,Streetlights,Purrple Cat,0.273,0.796,0.152,0.272,0.913,0.033,126.066,-14.577,0,9,139296,4
23EWXKbvK6FHrJVeIgGGwK,Hot Chocolate,Purrple Cat,0.954,0.814,0.325,0.872,0.807,0.0706,88.039,-12.106,1,0,147976,4
62o49daPlEbWOgtOrtq0Iy,Cosmic Echoes,Purrple Cat,0.801,0.617,0.167,0.0534,0.913,0.0292,119.98,-15.766,0,9,160302,4
2dXSyFQQiPdsJf9l2dkjG4,Siren's Song,Purrple Cat,0.328,0.473,0.37,0.332,0.96,0.0284,136.0,-15.213,0,4,148456,3
1bf0Eb9kfUQm4A30dh1ZjS,Glowing Tides,Purrple Cat,0.763,0.583,0.376,0.247,0.868,0.0349,83.013,-15.4,1,0,208471,4
7GggYhPnRo2gMnHRP3ivI0,Morning Light,Purrple Cat,0.752,0.658,0.201,0.101,0.914,0.0317,160.143,-14.304,1,9,210008,4
7jUdCOACijpTTVw48MqKxo,Rainbow Falls,Purrple Cat,0.934,0.641,0.201,0.158,0.889,0.0574,89.982,-21.164,0,10,157507,4
3UdRe1SRzOAa610ChnEoXU,Cloud Watching,Purrple Cat,0.912,0.742,0.396,0.452,0.672,0.0661,129.98,-12.136,1,5,168466,4
1dKAprA1kOIdjJSDTx5Ae3,Ferris Wheel,Purrple Cat,0.705,0.693,0.198,0.187,0.839,0.0306,90.014,-18.938,1,0,149507,4
2oYZ7t3PK8qM0UonsXQXif,Summer Crush,Purrple Cat,0.838,0.636,0.361,0.246,0.935,0.0322,139.97,-15.305,0,5,140571,3
5HuByoAexruGGIGAH3eoDy,Floating Castle,Bcalm,0.456,0.669,0.201,0.312,0.926,0.0934,144.019,-17.455,0,7,166000,4
6l29buL3HPRKy36vzDuNJp,Cozy Fireplace,Purrple Cat,0.696,0.703,0.222,0.375,0.932,0.159,143.917,-19.885,1,2,112179,3
2cOsCTsxQVay9ht2spMfiv,Serenity Now,Purrple Cat,0.738,0.629,0.254,0.243,0.911,0.0295,137.989,-12.996,0,7,175000,3
1DyF8RJbU0F3MApcUTTuCL,Eye of the Storm,Purrple Cat,0.204,0.681,0.338,0.0665,0.827,0.0455,140.004,-14.989,0,11,140625,4
2QtU48zD6bHiMt4iVjVob9,Lush,Purrple Cat,0.63,0.53,0.339,0.133,0.897,0.033,139.984,-16.569,0,10,137420,4
3cgDgZ31nnsyVAPTbAu8qK,Alien Sky,Purrple Cat,0.952,0.792,0.2,0.258,0.928,0.0366,124.026,-15.945,1,11,186300,3
4hyRAGKZpHA3ttfY0ltUcI,Signs of Life,Purrple Cat,0.769,0.702,0.282,0.12,0.829,0.0337,122.087,-14.836,1,0,149518,4
