id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
0JbSJ1ppYjw4gpIaNaFktO,little flowers,ddc.,0.191,0.623,0.181,0.242,0.71,0.0271,139.995,-21.615,0,11,159922,4
40D83FPqLSj1LmKQv6AHip,deep dreaming,ddc.,0.864,0.891,0.206,0.815,0.893,0.122,129.973,-17.609,0,7,119080,4
5rWbrvkcWQLRQDA7YH459y,back to home,Amo,0.823,0.363,0.433,0.107,0.89,0.0406,74.46,-12.87,1,10,146507,4
6hv5B2U2riliSevpULbytq,night sky,ddc.,0.56,0.626,0.179,0.0869,0.877,0.0447,76.036,-16.201,1,0,149252,4
2MVTl2PBx3Um5vznzY1rkh,wish you were mine,fleece,0.876,0.591,0.23,0.306,0.857,0.0404,169.979,-15.41,0,0,161712,4
07eAHkj76m3jSwhQnMpJ3a,slept alone,fleece,0.816,0.593,0.165,0.146,0.752,0.0918,170.083,-15.938,0,10,128537,4
7d6QzZjcYk7ErauDHbeAYH,longer nights,fleece,0.954,0.738,0.0695,0.153,0.813,0.0619,79.979,-18.848,0,2,171064,4
5R6Cj7AcepUaxGOQhMa6u4,Dreamland,Lowfi,0.776,0.584,0.237,0.141,0.877,0.0443,72.854,-15.588,1,10,160274,4
47WUGA0LzjJgwRfAIwsc4a,calling from forest,ddc.,0.655,0.644,0.165,0.239,0.915,0.0341,120.01,-19.813,0,1,153078,4
5oa9dO2w3MndQuw6BL8NNR,a better place,fleece,0.688,0.651,0.106,0.131,0.608,0.0414,90.064,-23.107,1,4,179397,4
5oa9dO2w3MndQuw6BL8NNR,a better place,fleece,0.688,0.651,0.106,0.131,0.608,0.0414,90.064,-23.107,1,4,179397,4
1T2LwxTajwBpMoV4O4xU2j,cozy corner,Lowfi,0.841,0.641,0.403,0.532,0.862,0.0278,124.016,-13.638,1,2,136331,4
1T2LwxTajwBpMoV4O4xU2j,cozy corner,Lowfi,0.841,0.641,0.403,0.532,0.862,0.0278,124.016,-13.638,1,2,136331,4
61G4lT1bAEatEpGRuCmS3e,Cozy Days,Lowfi,0.568,0.63,0.345,0.513,0.865,0.0464,76.069,-14.646,0,10,140132,4
61G4lT1bAEatEpGRuCmS3e,Cozy Days,Lowfi,0.568,0.63,0.345,0.513,0.865,0.0464,76.069,-14.646,0,10,140132,4
78SnUxmQZUKkYqV4DTjIGM,the sound of forest,Amo,0.784,0.761,0.383,0.494,0.867,0.147,151.988,-8.973,1,10,142303,4
78SnUxmQZUKkYqV4DTjIGM,the sound of forest,Amo,0.784,0.761,0.383,0.494,0.867,0.147,151.988,-8.973,1,10,142303,4
3q30qC8nvdtBMqaKfBK4Yf,moonlit melancholy,Lowfi,0.651,0.756,0.458,0.414,0.72,0.0645,136.086,-11.348,0,4,129209,4
3q30qC8nvdtBMqaKfBK4Yf,moonlit melancholy,Lowfi,0.651,0.756,0.458,0.414,0.72,0.0645,136.086,-11.348,0,4,129209,4
4kW1JC9p5iXuoH67caEORA,evening sunset,sogni,0.735,0.739,0.254,0.397,0.92,0.163,168.268,-14.755,0,8,129346,4
4p4g3cApl4Hd4Mc2KuhvwI,homecoming,ddc.,0.878,0.635,0.17,0.287,0.92,0.034,110.018,-17.649,0,7,142747,4
4p4g3cApl4Hd4Mc2KuhvwI,homecoming,ddc.,0.878,0.635,0.17,0.287,0.92,0.034,110.018,-17.649,0,7,142747,4
2UUup6ZaDtaIRSQ2bo6kyH,spirited away,ddc.,0.903,0.501,0.271,0.372,0.975,0.0276,76.01,-20.571,0,5,164284,4
5oa9dO2w3MndQuw6BL8NNR,a better place,fleece,0.688,0.651,0.106,0.131,0.608,0.0414,90.064,-23.107,1,4,179397,4
5oa9dO2w3MndQuw6BL8NNR,a better place,fleece,0.688,0.651,0.106,0.131,0.608,0.0414,90.064,-23.107,1,4,179397,4
1T2LwxTajwBpMoV4O4xU2j,cozy corner,Lowfi,0.841,0.641,0.403,0.532,0.862,0.0278,124.016,-13.638,1,2,136331,4
1T2LwxTajwBpMoV4O4xU2j,cozy corner,Lowfi,0.841,0.641,0.403,0.532,0.862,0.0278,124.016,-13.638,1,2,136331,4
61G4lT1bAEatEpGRuCmS3e,Cozy Days,Lowfi,0.568,0.63,0.345,0.513,0.865,0.0464,76.069,-14.646,0,10,140132,4
61G4lT1bAEatEpGRuCmS3e,Cozy Days,Lowfi,0.568,0.63,0.345,0.513,0.865,0.0464,76.069,-14.646,0,10,140132,4
78SnUxmQZUKkYqV4DTjIGM,the sound of forest,Amo,0.784,0.761,0.383,0.494,0.867,0.147,151.988,-8.973,1,10,142303,4
78SnUxmQZUKkYqV4DTjIGM,the sound of forest,Amo,0.784,0.761,0.383,0.494,0.867,0.147,151.988,-8.973,1,10,142303,4
3q30qC8nvdtBMqaKfBK4Yf,moonlit melancholy,Lowfi,0.651,0.756,0.458,0.414,0.72,0.0645,136.086,-11.348,0,4,129209,4
3q30qC8nvdtBMqaKfBK4Yf,moonlit melancholy,Lowfi,0.651,0.756,0.458,0.414,0.72,0.0645,136.086,-11.348,0,4,129209,4
4p4g3cApl4Hd4Mc2KuhvwI,homecoming,ddc.,0.878,0.635,0.17,0.287,0.92,0.034,110.018,-17.649,0,7,142747,4
4p4g3cApl4Hd4Mc2KuhvwI,homecoming,ddc.,0.878,0.635,0.17,0.287,0.92,0.034,110.018,-17.649,0,7,142747,4
2UUup6ZaDtaIRSQ2bo6kyH,spirited away,ddc.,0.903,0.501,0.271,0.372,0.975,0.0276,76.01,-20.571,0,5,164284,4
1K7x4P2uwCW0NJLq5FTV4W,childhood dreams,ddc.,0.907,0.49,0.17,0.264,0.935,0.0465,89.954,-19.859,1,7,123208,4
2KOXQj9SIIAkLxKd5hMszf,Nostalgic Feelings,Lowfi,0.0722,0.6,0.486,0.188,0.848,0.0617,78.984,-10.946,0,2,174684,4
5OTfqS1skT6Mv01maPC3fB,just free,Lowfi,0.702,0.728,0.425,0.415,0.898,0.132,171.973,-10.576,1,0,135523,4
76XKioEaH0yTEXFZV1qs5L,rain come again,ddc.,0.942,0.568,0.104,0.0423,0.929,0.0274,89.969,-21.094,0,5,121901,4
